author,author_id,author_is_uploader,author_thumbnail,id,is_favorited,like_count,parent,text,time_text,timestamp
Aminata Ndiaye,UCcHvB222oScELulDRucx8cg,False,https://yt3.ggpht.com/ytc/AKedOLScmxOwx2G0vjlJGEeX7LMKv_FlutZ976ERNA=s176-c-k-c0x00ffffff-no-rj,UgxSNfYCHDWtmW2-XjV4AaABAg.9dfL3Gp6GAs9dfuJSzV0-u,False,0,UgxSNfYCHDWtmW2-XjV4AaABAg,Vrai de vrai,17 hours ago,1658268000
Elhadji Sene,UCPlRBDyFxayidbDDjaW331Q,False,https://yt3.ggpht.com/ytc/AKedOLTLLGSIiHGZhR9kUuIGwZeELiMFnh_fXYBNaA=s176-c-k-c0x00ffffff-no-rj,Ugw16B0naAXydvGDLfh4AaABAg,False,7,root,Merci waye dieureudief pr dam mbodje dieureudief yalna yalla féy,22 hours ago,1658250000
Abib Touré,UCgWLIo5wSjGTx4bJgiv6zuA,False,https://yt3.ggpht.com/ytc/AKedOLRK0PN4sWhZBd8BOdQ2X7m8prBPmp5IUtt3fA=s176-c-k-c0x00ffffff-no-rj,UgwCIiv1Q9ioZVBI0ZJ4AaABAg,False,5,root,Les gardes devraient laisser l'imam avec sa ceinture au moins 😂🤣,22 hours ago,1658250000
Ndèye Thiaba Sène,UCC8zSamy22oqFHN0bIkoFOQ,False,https://yt3.ggpht.com/gndlrxE-OBIU7YYv8KGtA57W_X9EVk2oXjPf0pLFtDngGO0uBPfGj5hu6fBu9ky5X9l1u7WZ=s176-c-k-c0x00ffffff-no-rj,UgwCIiv1Q9ioZVBI0ZJ4AaABAg.9dfKjEi4iYs9dfMtjEtKLJ,False,1,UgwCIiv1Q9ioZVBI0ZJ4AaABAg,Khana 😂😂,22 hours ago,1658250000
bouddhambengue Yamakazi,UChMMdzbOts3WwPgzBkmHKQg,False,https://yt3.ggpht.com/ytc/AKedOLRGNI4kNWwvcYm3p1arDnfi-aRjR777k1gpTQ=s176-c-k-c0x00ffffff-no-rj,Ugy9Dt3pXmtxlBZhweF4AaABAg,False,1,root,Sonko bann rapport la amm ak Mancabou?tu n as pas répondu cette question .Sachez k nos renseignements Généraux travaillent bien!Tout ne sera pas dit.Mais l'avenir nous dira la suite inchaallah !,22 hours ago,1658250000
Galo Gueye,UCrCnqnQ75bT-gkafwOLWDMQ,False,https://yt3.ggpht.com/ytc/AKedOLSJpP7nmDzyOnBl0wdpPjGm5pEJahtq5CTXmlbg2gc0lsFKLjE9GDRnmpoeTJ4F=s176-c-k-c0x00ffffff-no-rj,Ugy9Dt3pXmtxlBZhweF4AaABAg.9dfKgCUYRbp9dfLqvv2cqn,False,0,Ugy9Dt3pXmtxlBZhweF4AaABAg,Et si tu le disais toi...... Loy khar?,22 hours ago (edited),1658250000
Bilal khaly Fall,UChcypeET3S3rPDWpOaAW2dA,False,https://yt3.ggpht.com/ytc/AKedOLS1pfWD8V-08tn48uj29ORBGz4XYkemqZ72Eg=s176-c-k-c0x00ffffff-no-rj,Ugy9Dt3pXmtxlBZhweF4AaABAg.9dfKgCUYRbp9dfS8rl5BRM,False,0,Ugy9Dt3pXmtxlBZhweF4AaABAg,Les renseignements généraux ne font rien du tout vérité bobou nguay wakh dou meusseu am sous ce régime actuel et tu le sais bien,21 hours ago,1658253600
Delphine C,UCk8EiFxwjrhPVUll6rC7W8w,False,https://yt3.ggpht.com/ytc/AKedOLQ8yyHYst-4ivJqG8sW3n-US7HnoR7jN-Ppr8HIcg=s176-c-k-c0x00ffffff-no-rj,Ugy9Dt3pXmtxlBZhweF4AaABAg.9dfKgCUYRbp9dfszAHed41,False,1,Ugy9Dt3pXmtxlBZhweF4AaABAg,Loutakh gua khar ba legui di lathié lolou . S'il était si mauvais il fallait poser la question bi moy liguey yeul Gadio. Comme c'est Sonko guen di jouer inspecteur Colombo.,17 hours ago,1658268000
Zozo Vérité,UCa7vqPDsJ08HCShWEkK1AHQ,False,https://yt3.ggpht.com/ytc/AKedOLQbgocopeEMTkc4SJWppiawLd79_5HVQVZui1n2=s176-c-k-c0x00ffffff-no-rj,Ugy9Dt3pXmtxlBZhweF4AaABAg.9dfKgCUYRbp9dhC0DKZZPT,False,0,Ugy9Dt3pXmtxlBZhweF4AaABAg,Bo ka khamé nga wakhgnou si ay sose rék nguéni dokh bobou ba légui arrêté léne,5 hours ago,1658311200
Alioune Diop,UC1aN2mvb9RtCVY4RdS1WLeA,False,https://yt3.ggpht.com/ytc/AKedOLTT01gzTpAK_iLoLEhWDB9tE8yKM8onMZBUiw=s176-c-k-c0x00ffffff-no-rj,Ugxz0cT2U6OtgBS4Lwp4AaABAg,False,5,root,"Dame ngir yalla bayyil do waxal ñii nga xamné du ñiy journalistes, ruubé dong lañi déf.",22 hours ago,1658250000
Adama Balde,UCLpqFa3Z229Uyyj8FruZAAQ,False,https://yt3.ggpht.com/ytc/AKedOLSapZC4O_ZJhAHRrXjlVGB7Hz0APsxQdfJK5cEOmw=s176-c-k-c0x00ffffff-no-rj,UgzSzZQtfeZkkUJ424V4AaABAg,False,12,root,"Tres bien dit dame💚 mbodj 🙏
Françoi mankabou Li dal niaw na metí 🔥
Antoucat nou Tous on ai en danger ⛔👹",23 hours ago,1658246400
Adama Balde,UCLpqFa3Z229Uyyj8FruZAAQ,False,https://yt3.ggpht.com/ytc/AKedOLSapZC4O_ZJhAHRrXjlVGB7Hz0APsxQdfJK5cEOmw=s176-c-k-c0x00ffffff-no-rj,UgxNHHL8wV8gaDxNPH94AaABAg,False,7,root,"Jerjef merci dame💚 mbodj🙏
Maki yakh na réwmi🙏🇸🇳
Le redicule ne tué pa se pays🇸🇳
Tous auf Maki ak gouvernement wayadi
administración banditisme détat
Police ak gendremeri ak justice partisant benno ⚰️ tasaré LGBT 🏳️‍🌈🔥🙏🏳️‍🌈🔥🔥",23 hours ago,1658246400
zou gaye,UCnajdMK-1FoP3H5GT3eTj-g,False,https://yt3.ggpht.com/ytc/AKedOLQAHKVCo_Uj4bZDdaPthK5aM1ugT7IbJjJmJA=s176-c-k-c0x00ffffff-no-rj,Ugy_24oyjkBVMu2e0bt4AaABAg,False,30,root,Bravo Dame un homme digne ❤️,23 hours ago,1658246400
Momo sy,UCog86z5nJoItBw-S1Rz9Cvw,False,https://yt3.ggpht.com/ytc/AKedOLSQlA9x-NznGXLYQM8VaiguFwc90Lv527CETsfIdORMJ7PYl1KtErvjp5BopVJU=s176-c-k-c0x00ffffff-no-rj,Ugzc7dFWbt2G7kj5p3Z4AaABAg,False,4,root,Dama le meilleur,23 hours ago,1658246400
Daroukarim ADAMAAdSense,UCu2ZX7C_uj0v7rUj6UiE2Sw,False,https://yt3.ggpht.com/o29tbeKsPFIjGE67V9QOzyodHYEZfYz9EixQwPSHgnQtXXOdTl50vu2aEBHgRY3L8JWxFtjLV18=s176-c-k-c0x00ffffff-no-rj,UgzfGFuAmm53GZmW1oR4AaABAg,False,6,root,Merci Dame Mbodji,23 hours ago,1658246400
